nama,sinta_id,dept,sinta_score,sinta_3yr_score,scopus_h_index,gs_h_index
MUPID,5993544,Pendidikan Umum dan Karakter (S3),247,215,1,4
MUHAMMAD TAUFIK DWI PUTRA,6745726,Teknik Komputer (S1),260,214,1,1
TAUFIK RAHMAN,6081100,Pendidikan Ilmu Pengetahuan Alam (S2),595,214,2,9
ARIF HIDAYAT,257991,Pendidikan Fisika (S1),529,214,3,4
IIM SITI MASYITOH,5992560,Pendidikan Kewarganegaraan (S2),421,213,1,4
R BOYKE MULYANA,6139448,Pendidikan Kepelatihan Olahraga (S1),383,211,2,4
ASEP HADIAN SASMITA,5993940,Teknik Mesin (D3),560,211,1,3
KARLIMAH,5982248,Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya (S2),584,210,2,7
"SUHENDRA, M.ED., PH.D",6140435,Pendidikan Matematika (S1),579,210,4,10
KAMIN SUMARDI,5978127,Pendidikan Teknologi dan Kejuruan (S2),632,210,1,9
DEDE TRIE KURNIAWAN,6745958,Pendidikan Guru Sekolah Dasar Kampus Cibiru (S2),495,210,2,7
DINA SITI LOGAYAH,6140888,Pendidikan IPS (S1),343,209,1,4
RASIM,5990962,Ilmu Komputer (S1),663,209,5,5
WAWAN HERMAWAN,5989811,Pendidikan Agama Islam (S2),366,209,0,5
DEDI KOSWARA,5987715,Pendidikan Bahasa dan Budaya Sunda (S2),567,208,1,6
TRI INDRI HARDINI,5978640,Pendidikan Bahasa Perancis (S2),430,208,1,6
RADITYA MUHAMMAD,6682222,Rekayasa Perangkat Lunak (S1),263,208,1,2
RISKHA MARDIANA,6000847,Pendidikan Teknik Arsitektur (S1),609,208,4,0
ANGGA HADIAPURWA,5989706,Perpustakaan dan Sains Informasi (S1),279,208,0,5
MAYA PURNAMA SARI,6125027,Pendidikan Multimedia Kampus Cibiru (S1),267,207,0,4
SUPRIH WIDODO,5978120,Pendidikan Sistem dan Teknologi Informasi Kampus P (S1),648,226,3,8
BAMBANG DARMAWAN,5991508,Pendidikan Teknik Mesin (S1),349,226,4,3
PURNOMO,6655363,Pendidikan Masyarakat (S1),343,225,3,6
TITA MULYATI,5989944,Pendidikan Guru Sekolah Dasar Kampus Cibiru (S2),417,223,1,11
HANA YUNANSAH,5988891,PGSD Kampus Cibiru (S1),455,223,0,9
DADANG SUDANA,5994886,Linguistik (S3),353,223,0,6
SJAEFUL ANWAR,6094907,Pendidikan Kimia (S1),581,222,3,11
YADI MULYADI,6003577,Teknik Elektro (S1),1.018,222,4,9
DINGDING HAERUDIN,5987647,Pendidikan Bahasa dan Budaya Sunda (S2),614,220,1,6
RISBON SIANTURI,6746024,PGPAUD Kampus Tasikmalaya (S1),256,220,0,1
DIAN BUDIANA,5984830,PGSD Pendidikan Jasmani (S1),457,230,4,8
ADI RAHMAT,5986402,Pendidikan Biologi (S1),827,230,3,10
DEDE ISWANDI,5995220,Pendidikan Pancasila Dan Kewarganegaraan (S1),333,229,0,3
JULIANA,6649754,Ilmu Ekonomi dan Keuangan Islam (S1),342,229,3,7
ASEP SURYANA,5993362,Administrasi Pendidikan (S3),801,228,1,11
MAMAT SUPRIATNA,6123032,Psikologi Pendidikan (S2),617,228,1,11
AAS NURASYIAH,5994697,Ilmu Ekonomi dan Keuangan Islam (S1),356,228,1,5
DINDIN ABDUL MUIZ LIDINILLAH,5977469,PGSD Kampus Tasikmalaya (S1),578,227,2,13
YUDI SUKMAYADI,6100381,Pendidikan Seni (S3),406,227,1,5
MUSLIM,6028471,Pendidikan Fisika (S2),946,227,4,10
RITA MILYARTINI,5978994,Pendidikan Seni (S3),404,195,0,5
NUR INDRI RAHAYU,5994469,Ilmu Keolahragaan (S1),392,195,1,7
BURHAN HAMBALI,6681587,"Pendidikan Jasmani, Kesehatan Dan Rekreasi (S1)",260,194,2,4
BUDI LAKSONO PUTRO,5993187,Pendidikan Ilmu Komputer (S1),643,193,3,6
DADAN NUGRAHA,6068607,PGSD Kampus Sumedang (S1),448,193,1,6
TRI SUWANDI,6198988,Pendidikan Biologi (S1),431,192,3,7
ASEP MULYADI,5994685,Pendidikan Geografi (S1),353,192,2,6
LAKSMI DEWI,5978451,Pengembangan Kurikulum (S2),506,192,1,11
DADANG,6005751,Pendidikan Bahasa Indonesia (S3),614,191,1,9
DIAN ANGGRAINI,6681986,Rekayasa Perangkat Lunak (S1),327,191,3,4
"DR. DIAN INDIHADI, M.PD.",6014404,PGSD Kampus Tasikmalaya (S1),440,190,1,10
OMAY SUMARNA,6134687,Pendidikan Kimia (S1),496,189,6,6
NEINY RATMANINGSIH,5994421,Pendidikan Ilmu Pengetahuan Sosial (S2),306,189,2,3
NANDI,257576,Pendidikan Geografi (S2),1.106,189,7,9
IDAT MUQODAS,5994301,PGPAUD Kampus Purwakarta (S1),361,189,1,10
DARIS HADIANTO,6755923,Sains Informasi Geografi (S1),214,189,3,5
ENJANG AKHMAD JUANDA,5993925,Teknik Elektro (S1),551,188,3,0
AGUS FAKHRUDDIN,5993691,Ilmu Pendidikan Agama Islam (S1),359,187,1,7
MAULIA DEPRIYA KEMBARA,5995003,Manajemen Resort dan Leisure (S1),270,187,1,6
RIKA RAFIKAH AGUSTIN,6115166,Pendidikan IPA (S1),542,186,3,7
LINA ANISA NASUTION,6731726,Keperawatan (D3),191,186,2,5
RATNANINGSIH EKO SARDJONO,5979503,Kimia (S2),1.026,186,7,10
AIP SARIPUDIN,6002410,Teknik Elektro (S1),429,185,3,5
YANTI SHANTINI,5994917,Pendidikan Masyarakat (S2),346,184,1,5
ZAINAL ARIFIN,6001480,Pengembangan Kurikulum (S2),1.126,184,1,20
ISHAK ABDULHAK,5991803,Unknown,596,183,1,14
KUSNANDI,6700094,Pendidikan Matematika (S2),371,183,3,11
DADANG LUKMAN HAKIM,5994748,Teknik Elektro (S1),754,182,5,10
AMAY SUHERMAN,6657142,Pendidikan Teknologi dan Kejuruan (S3),710,182,4,5
NIA NAFISAH,6005566,Bahasa dan Sastra Inggris (S1),279,182,1,5
NUNUY NURJANAH,5983965,Pendidikan Bahasa dan Budaya Sunda (S2),411,169,2,5
ASEP HERRY HERNAWAN,5992721,Pengembangan Kurikulum (S2),537,169,1,19
ADE SADIKIN AKHYADI,6106975,Unknown,273,167,1,8
MAMAN SOMANTRI,6003437,Pendidikan Teknik Elektro (S1),514,167,3,4
AYI SUHERMAN,5993623,PGSD Penjas Kampus Sumedang (S1),446,166,3,13
FLORENTINA MARIA TITIN SUPRIYANTI,6682493,Kimia (S1),536,166,3,10
IKA FITRI APRIANI,6649299,PGSD Kampus Tasikmalaya (S1),202,166,1,3
MESA RAHMI STEPHANI,6068759,PGSD Pendidikan Jasmani (S1),314,166,1,6
HENI MULYANI,257835,Pendidikan Akuntansi (S1),290,165,1,5
YUSUF SURYANA,5994506,PGSD Kampus Tasikmalaya (S1),422,164,0,12
BUNYAMIN MAFTUH,6146282,Pendidikan Ilmu Pengetahuan Sosial (S3),697,200,3,12
FIRMAN ROBIANSYAH,6000078,PGSD Kampus Serang (S1),313,199,1,4
TRY RAMADHAN,6745711,Pendidikan Teknik Arsitektur (S1),270,199,1,4
PRIHANTINI,6070701,Pendidikan Guru Sekolah Dasar Kampus Cibiru (S2),254,198,0,6
YUDI NURCAHYA,6141059,Pendidikan Kepelatihan Olahraga (S1),230,198,1,4
SRI SUMARTINI,6141086,Keperawatan (D3),347,198,1,6
SITI AISYAH,5984449,Kimia (S1),973,197,9,9
JENNYTA CATURIASARI,6706344,PGSD Kampus Purwakarta (S1),261,197,1,3
AAM ALI RAHMAN,6689586,PGSD Penjas Kampus Sumedang (S1),207,196,3,6
NURYADI,6129407,Pendidikan Olahraga (S2),360,196,2,5
MAYA PURNAMA SARI,6125027,Pendidikan Multimedia Kampus Cibiru (S1),267,207,0,4
BUDI SETIAWAN,6754095,Teknologi Pendidikan (S1),258,207,4,4
RAHMAT,5990804,Pendidikan Kewarganegaraan (S2),717,205,1,7
JENURI,6134447,Pendidikan Ilmu Pengetahuan Sosial (S2),452,205,0,3
DEDE ROHMAT,6006073,Pendidikan Geografi (S3),643,204,3,8
IKA MUSTIKA SARI,5993538,Pendidikan Fisika (S1),465,204,4,10
DARSIHARJO,5996446,Pendidikan Geografi (S2),722,203,1,5
NANI SUTARNI,5978295,Pendidikan Ekonomi (S2),346,203,2,5
ANGGA M SYAHID,6681782,Kepelatihan Fisik Olahraga (S1),226,201,3,3
DIDING NURDIN,5995269,Administrasi Pendidikan (S2),437,200,1,9
ASEP DENI GUSTIANA,5994314,Pendidikan Guru Pendidikan Anak Usia Dini (S1),295,174,0,5
EDI SURYADI,5994793,Manajemen Perkantoran (S2),483,174,2,10
RANI MEGASARI,5992674,Ilmu Komputer (S1),387,174,3,5
CECEP DARMAWAN,5989822,Pendidikan Kewarganegaraan (S3),465,173,0,11
HERNAWATI,6005188,Biologi (S1),600,173,3,5
SHINTA MAHARANI,6000177,Pendidikan Teknologi Agroindustri (S1),218,173,2,5
SURDINIATY UGELTA,5995254,Ilmu Keolahragaan (S1),273,173,1,6
NENDEN RANI RINEKASARI,5993613,Pendidikan Kesejahteraan Keluarga (S1),330,172,0,5
SARIWULAN DIANA,6035050,Pendidikan Biologi (S1),712,172,2,8
IIP SARIPAH,5994097,Pendidikan Masyarakat (S2),338,172,1,5
YADI RUYADI,6664082,Pendidikan Sosiologi (S2),495,164,1,8
ROSARINA GIYARTINI,6142244,PGSD Kampus Tasikmalaya (S1),275,162,0,6
SUPRIYONO,5992869,Manajemen Industri Katering (S1),217,161,0,5
HARRY TJAHJODININGRAT,6778322,Film dan Televisi (S1),289,161,0,2
TUTIN ARYANTI,258178,Arsitektur (S2),600,161,3,8
JATMIKA NURHADI,5993416,Bahasa dan Sastra Indonesia (S1),316,161,1,5
WIJI,6012036,Pendidikan Kimia (S2),502,160,3,4
ERLINA WIYANARTI,5992644,Pendidikan Ilmu Pengetahuan Sosial (S3),296,160,1,8
BABANG ROBANDI,5995489,Pedagogik (S2),278,160,0,7
NADIA TIARA ANTIK SARI,6689078,PGSD Kampus Purwakarta (S1),184,159,1,2
EKA SAKTI YUDHA,5978206,Bimbingan Dan Konseling (S1),279,159,2,4
AHMAD FAUZI,6122861,Sistem Telekomunikasi (S1),177,159,0,3
DIKDIK ZAFAR SIDIK,5989589,Kepelatihan Fisik Olahraga (S1),478,158,0,13
AGUS SOLEHUDIN,6042424,Pendidikan Teknik Mesin (S1),465,158,3,6
SUNARYO KARTADINATA,5990867,Unknown,639,157,2,17
POPI SOPIAH,6126299,Profesi Ners Kampus Sumedang (Profesi),231,157,2,3
AMPRASTO,5988635,Pendidikan Biologi (S1),275,157,1,6
YONA WAHYUNINGSIH,6004841,PGSD Kampus Cibiru (S1),526,157,0,5
YUDHA MUNAJAT SAPUTRA,6146885,Pendidikan Olahraga (S3),342,157,1,0
MOHAMAD ZAKA AL FARISI,258095,Pendidikan Bahasa Arab (S1),416,157,2,10
IRWAN SARBENI,6720860,Film dan Televisi (S1),230,182,1,3
AGUS SUHERMAN,5986522,Pendidikan Bahasa Sunda (S1),461,181,1,9
RINA MARINA,257938,Teknik Sipil (S1),352,181,2,4
LIZZA SUZANTI,6147053,PGPAUD Kampus Serang (S1),250,181,0,4
R. NELLY NUR APANDI,6735793,Akuntansi (S1),371,180,1,7
SULASTRI,6067962,Pendidikan Bisnis (S1),400,180,4,6
HAIPAN SALAM,5978333,Pendidikan Teknik Mesin (S1),434,180,5,6
IDA FARIDA ADI PRAWIRA,6027190,Magister Ilmu Akuntansi (S2),345,180,1,6
GHOITSA ROHMAH NURAZIZAH,6798290,Manajemen Resort dan Leisure (S1),261,179,1,5
NOVRIZAL ACHMAD NOVAN,6681784,Kepelatihan Fisik Olahraga (S1),184,179,0,3
MUKHIDIN,5991832,Pendidikan Teknologi dan Kejuruan (S3),425,156,3,6
YUYU RACHMAT TAYUBI,5995486,Fisika (S1),571,156,3,5
EMI LINDAYANI,6658130,Profesi Ners Kampus Sumedang (Profesi),171,156,0,0
IWA KUNTADI,6124175,Pendidikan Teknik Otomotif (S1),420,155,2,4
MAULANA,5993446,PGSD Kampus Sumedang (S1),562,155,2,13
BANDI SOBANDI,5993460,Pendidikan Seni Rupa (S1),246,154,1,6
KHUSNUL NOVIANINGSIH,258640,Matematika (S1),513,154,3,5
HENY DJOEHAENI,6001543,Pendidikan Anak Usia Dini (S2),263,153,0,5
ASEP DAHLIYANA,5997439,Pendidikan Sosiologi (S1),271,153,1,5
YANI ACHDIANI,6122039,Pendidikan Kesejahteraan Keluarga (S1),439,153,2,8
PRAYOGA BESTARI,5995134,Pendidikan Kewarganegaraan (S2),515,172,1,6
SHAFIRA HIMAYAH,6114986,Sains Informasi Geografi (S1),347,172,3,4
SAPRIYA,5987047,Pendidikan Kewarganegaraan (S2),803,171,3,12
EKO SULISTIONO,6722048,Pendidikan Masyarakat (S1),196,171,0,2
FAZRI NUR YUSUF,5978422,Pendidikan Bahasa Inggris (S3),319,171,2,6
WIWI SISWANINGSIH,6681972,Pendidikan Kimia (S1),534,171,4,9
FERI HIDAYATULLAH FIRMANSYAH,6130481,Pendidikan Multimedia Kampus Cibiru (S1),204,170,0,4
MUHAMAD GINA NUGRAHA,258012,Pendidikan Fisika (S1),815,169,5,13
KUSTON SULTONI,259556,Ilmu Keolahragaan (S1),492,169,3,7
NUNUY NURJANAH,5983965,Pendidikan Bahasa dan Budaya Sunda (S2),411,169,2,5
FAHMI JAHIDAH ISLAMY,6647689,Pendidikan Manajemen Perkantoran (S1),193,148,2,6
MAD ALI ,6787108,Pendidikan Bahasa Arab (S2),438,147,0,2
ELAN ELAN,6736627,PGPAUD Kampus Tasikmalaya (S1),225,147,1,8
INDIRA SYAWANODYA,6681751,Rekayasa Perangkat Lunak (S1),203,147,1,1
INDRA SAFARI,5993891,Pendidikan Jasmani (S2),294,147,2,7
ASEP NURYADIN,6745757,Bisnis Digital (S1),198,146,0,2
RIZAL AHMAD FAUZI,6131297,PGSD Penjas Kampus Sumedang (S1),210,145,0,3
AHMAD HUDAIBY GALIH KUSUMAH,5989818,Pariwisata (S2),299,145,0,5
MUHAMMAD RIZALUL WAHID,6780434,Mekatronika dan Kecerdasan Buatan Kampus Purwakart (S1),206,144,1,2
SETIYA UTARI,5995367,Unknown,732,144,5,15
RR DENI WIDJAYATRI,6694553,PGPAUD Kampus Serang (S1),162,152,0,3
YENI YUNIARTI,5977425,PGSD Kampus Cibiru (S1),262,152,0,9
ANNISA CIPTAGUSTIA,5994482,Manajemen (S1),230,152,0,3
KATIAH,5979412,Pendidikan Tata Busana (S1),236,152,0,1
RUSWAN DALLYONO,6682759,Bahasa dan Sastra Inggris (S1),234,152,3,6
PRIMANITA SHOLIHAH ROSMANA,6745893,PGSD Kampus Purwakarta (S1),252,150,0,1
KUSWANTO,6728771,PGPAUD Kampus Cibiru (S1),160,150,0,4
SURYADI,5978515,Administrasi Pendidikan (S1),424,150,1,0
EDDY PRASETYO NUGROHO,5990993,Ilmu Komputer (S1),549,149,6,8
MUH. HUSEN ARIFIN,6745847,PGSD Kampus Cibiru (S1),267,149,0,5
IKAPUTERA WASPADA,5993422,Manajemen (S3),349,178,1,10
DWI IMAN MUTHAQIN,6077679,Pendidikan Pancasila Dan Kewarganegaraan (S1),250,178,1,3
NANDANG BUDIMAN,5995137,Psikologi Pendidikan (S2),452,177,2,12
ERIK MUHAMMAD PAUHRIZI,6750889,Film dan Televisi (S1),180,176,0,2
NINA SUTRESNA,6006453,Pendidikan Olahraga (S2),363,176,6,6
WAWAN PURNAMA,6003518,Pendidikan Teknik Elektro (S1),399,176,2,5
INDAH SUSANTI,6681739,Pendidikan Teknik Arsitektur (S1),333,175,2,7
ENCEP SYARIEF NURDIN,5983269,Pendidikan Umum dan Karakter (S3),378,175,2,7
AAM ABDUSSALAM,5993560,Unknown,335,174,2,8
NURDINAH HANIFAH,5992549,PGSD Kampus Sumedang (S1),787,174,1,16
NUGRAHA,5994754,Pendidikan Akuntansi (S1),710,144,6,9
MOCHAMAD IQBAL ARDIMANSYAH,6658552,Rekayasa Perangkat Lunak (S1),182,144,1,4
DEWI SUSILAWATI,5993632,Pendidikan Jasmani (S2),247,144,1,6
DEDI WARSANA,6778104,Film dan Televisi (S1),148,144,0,2
JAJANG KUSNENDAR,5989839,Pendidikan Ilmu Komputer (S1),488,144,4,7
HAFIYYAN PUTRA PRATAMA,6681148,Pendidikan Sistem dan Teknologi Informasi Kampus P (S1),155,143,0,3
SYAMSUL HADI SENEN,5984992,Manajemen (S3),586,143,4,12
LABIBATUSSOLIHAH,6705586,Pendidikan Sejarah (S1),155,143,0,2
JAJAT,6002301,Ilmu Keolahragaan (S1),276,143,2,5
DENI WARDANA,6662598,PGSD Kampus Serang (S1),182,143,0,3
ANNE HAFINA,5994473,Bimbingan Dan Konseling (S2),268,149,2,7
BERLIANA,6009121,Pendidikan Olahraga (S2),192,149,1,4
ADANG SUDRAZAT,6714452,Pendidikan Jasmani (S2),222,149,0,4
RITA PATRIASIH,5994115,Pendidikan Tata Boga (S1),337,148,1,7
ISTI KUMALASARI,6745723,Gizi (S1),167,148,0,3
DEDEN PRADEKA,6680849,Teknik Komputer (S1),203,148,0,2
ASYIFA IMANDA SEPTIANA,6681802,Rekayasa Perangkat Lunak (S1),236,148,2,4
MULYANA,5984860,Pendidikan Kepelatihan Olahraga (S1),767,148,2,5
ERWIN RAHAYU SAPUTRA,6745747,PGSD Kampus Tasikmalaya (S1),174,148,1,2
TINA HAYATI DAHLAN,5980395,Psikologi Pendidikan (S2),318,148,1,6
NENDEN SRI LENGKANAWATI,5991826,Pendidikan Bahasa Inggris (S1),452,136,5,11
LELI KURNIAWATI,5994085,Pendidikan Guru Pendidikan Anak Usia Dini (S1),234,135,0,5
EPON NUR'AENI L,5980779,Unknown,325,135,1,7
NITIH INDRA KOMALA DEWI,6125855,Arsitektur (S1),219,135,1,4
WULANDARI PUTRI,6199058,PGSD Pendidikan Jasmani (S1),155,135,1,3
NALA NANDANA UNDIANA,6707140,Film dan Televisi (S1),146,135,0,4
HARSA WARA PRABAWA,5981240,Pendidikan Ilmu Komputer (S1),571,135,4,6
WILDAN ALFIA NUGROHO,6745719,PGSD Pendidikan Jasmani (S1),145,135,0,5
DIAH GUSRAYANI,5993469,PGSD Kampus Sumedang (S1),630,134,1,10
ASEP SUPRIATNA,5978133,Pendidikan Ilmu Pengetahuan Alam (S3),419,134,2,7
TATANG SYARIPUDIN,5996282,Pendidikan Guru Sekolah Dasar (S1),261,134,0,11
TRIAS MEGAYANTI,6003266,Pendidikan Teknik Arsitektur (S1),237,133,1,3
LINNA MEILIA RASIBAN,5992682,Pendidikan Bahasa Jepang (S1),267,133,0,5
HERAENI TANUATMODJO,5996065,Pendidikan Akuntansi (S1),273,133,0,6
CEPI RIYANA,5978187,Pendidikan Dasar (S3),699,133,1,29
YUDI WIBISONO,260167,Ilmu Komputer (S1),493,133,3,10
RANGGA GELAR GUNTARA,6738149,Bisnis Digital (S1),215,133,1,4
AYUNG CANDRA PADMASARI,6130964,Pendidikan Multimedia Kampus Cibiru (S1),153,132,0,3
ALDISSAIN JURIZAT,6746163,Arsitektur (S1),176,132,2,3
AGUS SETIABUDI,5982867,Kimia (S2),1.249,131,9,14
IPAH SARIPAH,5995090,Bimbingan Dan Konseling (S2),307,131,1,9
ANWAR SANUSI,6740373,Unknown,162,131,0,6
AYO SUNARYO,5994222,Pendidikan Seni (S2),169,131,0,5
ROJAB SITI RODLIYAH,5978990,Pendidikan Bahasa Inggris (S2),251,131,1,7
SARIPUDIN,6799293,Pendidikan Teknik Elektro (S1),323,130,2,3
GEMA RULLYANA,5994404,Perpustakaan dan Sains Informasi (S1),227,129,1,5
MUHAMMAD RIJAL WAHID MUHARRAM,6709826,PGSD Kampus Tasikmalaya (S1),221,129,1,8
OCIH SETIASIH,6123149,Pendidikan Anak Usia Dini (S2),353,129,1,5
EUIS KURNIATI,6801785,Unknown,387,129,0,11
ERIK HARITMAN,6003383,Pendidikan Teknik Otomasi Industri dan Robotika (S1),298,129,2,8
ENI NURAENI,6003416,Pendidikan Biologi (S1),360,125,3,6
IMAS DIANA APRILIA,6000366,Pendidikan Khusus (S3),301,125,0,5
ISTI SITI SALEHA,5979123,Pendidikan Bahasa Inggris (S2),337,125,2,8
DADANG YUNUS LUTFIANSYACH,6654442,Pendidikan Masyarakat (S1),235,124,1,6
MIRAWATI,5982881,PGPAUD Kampus Cibiru (S1),275,123,0,6
SEPTIAN WILLIYANTO,6726124,Ilmu Keolahragaan (S1),131,123,1,4
SOLIHIN ICHAS HAMID,257005,Unknown,391,123,0,11
LELI YULIFAR,5993694,Pendidikan Sejarah (S2),221,123,1,4
NADIA AULIA NADHIRAH,6141923,Bimbingan Dan Konseling (S1),139,123,1,2
MOKH IMAN FIRMANSYAH,5993699,Ilmu Pendidikan Agama Islam (S1),288,122,2,6
EMI EMILIA,6728899,Pendidikan Bahasa Inggris (S3),543,122,5,15
MILA KARMILA,6000331,Pendidikan Tata Busana (S1),210,122,1,3
IDRUS AFFANDI,6745710,Pendidikan Kewarganegaraan (S3),290,121,1,9
SAEFUL KARIM,6022627,Pendidikan Fisika (S1),507,121,4,14
HASBULLAH,5993941,Pendidikan Teknik Otomasi Industri dan Robotika (S1),520,120,3,6
IWA LUKMANA,6681158,Linguistik (S3),271,119,3,7
TONO RACHMAD PUDJO HARTONO,5980702,Pendidikan Seni Musik (S1),137,119,0,0
ACENG RUHENDI SYAIFULLAH,6005752,Unknown,234,118,0,6
SAEPUL ANWAR,5989812,Ilmu Pendidikan Agama Islam (S1),434,118,3,9
DEDE KOSASIH,5994579,Pendidikan Bahasa dan Budaya Sunda (S2),498,118,0,4
DIAH LATIFAH,5995238,Pendidikan Bahasa Indonesia Bagi Penutur Asing (S2),285,114,0,4
MUHAMMAD NUR ALIF,6183716,PGSD Penjas Kampus Sumedang (S1),246,114,3,7
LISNAWATI,5986471,Pendidikan Bisnis (S1),414,113,2,5
CARIA NINGSIH,6039392,Pariwisata (S2),216,113,0,6
SUDJANI,5995604,Pendidikan Teknik Bangunan (S1),130,113,0,1
DIDIN BUDIMAN,5994760,PGSD Pendidikan Jasmani (S1),323,112,2,9
RICHE CYNTHIA JOHAN,5977502,Perpustakaan dan Sains Informasi (S1),387,112,1,8
HADY SITI HADIJAH,5994566,Manajemen Perkantoran (S2),192,112,0,7
ENDIS FIRDAUS,5991808,Pendidikan Agama Islam (S2),364,111,2,7
LILIS WIDANINGSIH,5995039,Pendidikan Teknik Arsitektur (S1),329,111,2,5
MITA NURHAYATI,6745947,Kimia (S1),161,142,3,4
SAID HAMID HASAN,6193496,Pendidikan Sejarah (S3),443,142,0,20
RR TJAHYANI BUSONO,6000749,Pendidikan Teknik Arsitektur (S1),356,142,1,5
HAYANI WULANDARI,5994217,PGPAUD Kampus Purwakarta (S1),285,142,2,5
DANNY MEIRAWAN,6112016,Pendidikan Teknik Bangunan (S1),379,141,2,9
LELI HALIMAH,5978631,PGPAUD Kampus Cibiru (S1),466,141,2,10
ZAKARIAS SUKARYA SOETEJA,6107747,Pendidikan Seni (S3),309,141,1,7
TUTI ISTIANTI,5988088,PGPAUD Kampus Cibiru (S1),416,141,1,8
OONG KOMAR,5986243,Pendidikan Masyarakat (S1),380,140,1,5
NENDEN INEU HERAWATI,6006181,PGPAUD Kampus Cibiru (S1),368,140,0,7
SILMI AFINA ALIYAN,6749474,Sains Informasi Geografi (S1),138,116,2,2
SUMANANG MUHTAR GOZALI,6121808,Matematika (S1),361,116,2,4
KUSNENDI,5993243,Pendidikan Ekonomi (S3),187,115,1,6
ANA RAMDANI SARI,6745844,Pendidikan Teknik Arsitektur (S1),116,115,1,1
TOTO RUHIMAT,5995979,Pengembangan Kurikulum (S3),123,115,1,0
GIN GIN GUSTINE,6729061,Pendidikan Bahasa Inggris (S2),296,114,3,5
JONI RAHMAT PRAMUDIA,5994915,Pendidikan Masyarakat (S2),329,114,0,7
TIN RUSTINI,6006348,PGSD Kampus Cibiru (S1),252,114,0,7
AGUS MAHENDRA,5979586,PGSD Pendidikan Jasmani (S1),474,114,1,18
DIAH LATIFAH,5995238,Pendidikan Bahasa Indonesia Bagi Penutur Asing (S2),285,114,0,4
DEWI INDRIATI HADI PUTRI,6720737,Sistem Telekomunikasi (S1),203,129,2,5
MOKH. ADIB SULTAN,6002446,Manajemen (S1),262,128,2,0
ILHAMDANIAH,6003424,Arsitektur (S2),227,128,1,4
NURUL FAHMI ARIEF HAKIM,6725597,Pendidikan Teknik Otomasi Industri dan Robotika (S1),213,128,2,2
SOJA SITI FATIMAH,5976517,Kimia (S1),466,127,4,1
INTAN PERMATA SARI,6130817,Pendidikan Multimedia Kampus Cibiru (S1),168,127,0,5
PURWATI,6746144,PGPAUD Kampus Tasikmalaya (S1),147,127,1,8
ANUGRAH ADIWILAGA,6745914,Teknik Komputer (S1),180,127,0,2
SENI APRILIYA,5977974,PGSD Kampus Tasikmalaya (S1),381,127,1,8
AAH AHMAD SYAHID,5993425,PGSD Kampus Sumedang (S1),461,126,2,7
ISHAK ARIAWAN,6745750,Sistem Informasi Kelautan (S1),117,106,1,2
DENI KURNIAWAN,5995718,Pengembangan Kurikulum (S2),358,106,1,9
YULIANTI FITRIANI,6130037,PGPAUD Kampus Serang (S1),171,106,0,4
ASEP WAHYUDIN,5991982,Pendidikan Ilmu Komputer (S2),358,106,2,4
FARID ABDULLAH,5993877,Pendidikan Seni Rupa (S1),156,106,0,3
PUPUN NURYANI,6000860,Pedagogik (S2),248,106,0,7
ENCEP SUPRIATNA,5998557,Pendidikan Sejarah (S2),171,105,2,6
