nama,sinta_id,dept,sinta_score,sinta_3yr_score,scopus_h_index,gs_h_index
GILAR GANDANA,6138272,PGPAUD Kampus Tasikmalaya (S1),351,105,2,9
IMAN IMANUDIN,5994171,Ilmu Keolahragaan (S1),386,105,1,10
ISAH CAHYANI,5994299,Pendidikan Bahasa Indonesia (S2),621,105,1,16
A SOBANDI,5994552,Manajemen Perkantoran (S2),425,140,1,10
AGUS BUDIMAN,6815969,Unknown,146,139,1,6
ERLANGGA,6653131,Pendidikan Ilmu Komputer (S1),176,139,1,2
TAUFIK ABDULLAH,6127535,Manajemen Pemasaran Pariwisata (S1),283,139,3,6
DIDIN WAHYUDIN,5979316,Teknik Elektro (S1),685,138,3,7
ENDANG RUSYANI,6124916,Unknown,189,137,2,5
PANDU HYANGSEWU,6656623,Pendidikan Sosiologi (S1),160,137,1,4
UYU WAHYUDIN,5993946,Pendidikan Masyarakat (S3),472,137,1,8
TUSZIE WIDHIYANTI,6123602,Pendidikan Kimia (S1),360,136,3,3
NENDEN SRI LENGKANAWATI,5991826,Pendidikan Bahasa Inggris (S1),452,136,5,11
MUHAMAD ARIEF RAMDHANY,5993223,Pendidikan Akuntansi (S1),221,105,1,4
NURALY MASUM APRILY,6746170,PGPAUD Kampus Tasikmalaya (S1),112,105,0,4
ILMA INDRIASRI PRATIWI,6682020,Pendidikan Pariwisata (S1),119,104,0,2
ROSA ARIANI SUKAMTO,5974496,Ilmu Komputer (S1),677,104,3,23
RIZKI RAMADHAN,6754432,Unknown,179,103,1,7
IKMANDA NUGRAHA,6000423,Pendidikan IPA (S1),377,103,3,5
AMAR MUFHIDIN,6750051,Pendidikan Teknik Bangunan (S1),112,103,1,7
BUDI HERMAWAN,6728996,Bahasa dan Sastra Inggris (S1),290,103,3,6
ASRI WIBAWA SAKTI,6745928,Pendidikan Tata Busana (S1),180,103,0,4
SARDIN,5994622,Pendidikan Masyarakat (S1),179,103,1,3
KUSNADI,6002975,Pendidikan Biologi (S1),255,108,2,7
IQBAL LHUTFI,6745836,Pendidikan Akuntansi (S1),121,107,0,3
R. DIAN HENDRAYANA,6129542,Pendidikan Bahasa Sunda (S1),484,107,0,5
SRI HARTO,6127481,Pendidikan Bahasa Inggris (S1),219,107,1,4
AGUS MUHARAM,5995848,Pendidikan Dasar (S2),160,107,1,0
BUDHI PAMUNGKAS GAUTAMA,5993835,Manajemen (S1),254,107,1,10
NENENG SRI WULAN,5994982,PGSD Kampus Purwakarta (S1),162,107,0,6
ARDIANSAH,6754065,Perpustakaan dan Sains Informasi (S1),135,107,1,2
VIENA RUSMIATI HASANAH,257089,Pendidikan Masyarakat (S2),329,107,0,5
RESTU MINGGRA,5994304,Arsitektur (S1),190,107,2,3
ADI PREHANTO,6745739,Bisnis Digital (S1),129,111,0,3
MULYANA ABDULLAH,6123317,Pendidikan Geografi (S2),232,110,2,6
RESA RESPATI,5994434,PGSD Kampus Tasikmalaya (S1),226,110,1,8
AGUS GUMILAR,6681736,"Pendidikan Jasmani, Kesehatan Dan Rekreasi (S1)",189,110,2,2
MAMAN ABDURAHMAN,257947,Pendidikan Bahasa Arab (S2),599,110,0,7
RASTO,5993224,Manajemen Perkantoran (S2),307,110,2,10
ENJANG ALI NURDIN,6141098,Pendidikan Ilmu Komputer (S2),211,110,2,3
RUHALIAH,5980277,Pendidikan Bahasa Sunda (S1),485,109,0,5
TIKA ANNISA LESTARI KOESWANDI,6721352,Kewirausahaan Kampus Tasikmalaya (S1),135,109,0,3
ANY FITRIANI,6004273,Pendidikan Ilmu Pengetahuan Alam (S2),845,109,3,12
GUN GUN GUMILAR,5983442,Kimia (S1),397,118,5,7
RINI INTANSARI MEILANI,5994001,Pendidikan Manajemen Perkantoran (S1),306,118,1,8
DETY AMELIA KARLINA,5993444,PGSD Kampus Sumedang (S1),259,118,1,6
NAHROWI ADJIE,5995587,PGPAUD Kampus Purwakarta (S1),225,118,0,8
FRAHMA SEKARNINGSIH,5993485,Unknown,169,117,1,4
WIENDARTUN,5994190,Unknown,529,117,4,7
ALI ISMAIL,5993063,PGSD Kampus Sumedang (S1),418,117,4,9
ASEP HERRY HERNAWAN,6796197,Pengembangan Kurikulum (S2),330,117,1,18
AAN LISTIANA,6001641,Pendidikan Anak Usia Dini (S2),224,116,0,0
MARLINA,6003759,Pendidikan Tata Busana (S1),145,116,0,1
NIKE KAMARUBIANI,5995140,Pendidikan Masyarakat (S1),233,109,0,2
HUSEN WINDAYANA,6067533,Unknown,190,109,0,6
TIRTA ADIKUSUMA SUPARTO,6140627,Keperawatan (D3),234,109,1,5
ASTI DEWI RAHAYU FITRIANINGSIH,6681726,Gizi (S1),123,109,0,3
UMAN SUHERMAN AS,5995491,Bimbingan Dan Konseling (S1),292,109,2,8
AMELINDA PRATIWI,6745853,Kimia (S1),118,109,2,3
MOMOD ABDUL SOMAD,5991838,Pendidikan Umum dan Karakter (S3),150,109,0,4
LUTHFI ANZANI,6721957,Sistem Informasi Kelautan (S1),145,108,2,3
RIDWAN ADAM MUHAMAD NOOR,6003943,Pendidikan Teknik Otomotif (S1),207,108,0,6
NANANG GANDA PRAWIRA,6103030,Desain Komunikasi Visual (S1),292,108,0,7
YUDHISTIRA KUSUMA,6745845,Pendidikan Teknik Arsitektur (S1),96,93,1,2
NUR HAFIZ ABDURAHMAN,6662753,Pendidikan Bahasa Inggris (S1),144,93,2,3
HALIMAH,6004942,Pendidikan Bahasa Indonesia Bagi Penutur Asing (S2),181,93,1,3
CAHYO PUJI ASMORO,6175994,Unknown,315,93,2,4
DANIEL JULIANTO TARIGAN,6682292,Pendidikan Kelautan dan Perikanan Kampus Serang (S1),127,93,0,3
SUHARA,6125279,Pendidikan Biologi (S1),333,93,1,1
BTARI MARISKA PURWAAMIJAYA,6681170,Bisnis Digital (S1),109,93,0,2
NITA NOVIANTI,5978402,Bahasa dan Sastra Inggris (S1),396,92,3,6
VIA LUVIANA DEWANTY,6722191,Pendidikan Bahasa Jepang (S1),93,92,0,2
NISRINA NURUL INSANI,6709512,Pendidikan Pancasila Dan Kewarganegaraan (S1),95,92,0,2
ASEP SUMPENA,5978427,"Pendidikan Jasmani, Kesehatan Dan Rekreasi (S1)",135,92,0,2
YATTI SUGIARTI,5993933,Pendidikan Teknologi Agroindustri (S1),307,92,3,5
ACENG MUHTARAM MIRFANI,5995460,Unknown,889,92,1,7
SRI WULAN LINDASARI,6136922,Keperawatan Kampus Sumedang (S1),115,92,0,4
TASMA SUCITA,5993914,Pendidikan Teknik Elektro (S1),400,91,2,4
MUHAMAD NURSALMAN,6143456,Pendidikan Ilmu Komputer (S2),282,91,2,4
BAGJA WALUYA,5979043,Pendidikan Geografi (S1),309,91,1,10
GANO SUMARNO,5994887,PGSD Pendidikan Jasmani (S1),145,91,0,3
IMAS PURNAMASARI,5995993,Pendidikan Akuntansi (S1),334,90,0,9
TUTI SUARTINI,5983986,Pendidikan Teknik Elektro (S1),198,90,0,3
AGARA DAMA GAPUTRA,6745709,Arsitektur (S1),102,98,0,2
GANJAR EKA SUBAKTI,6682627,Ilmu Pendidikan Agama Islam (S1),105,98,0,4
AHMAN,5990333,Bimbingan Dan Konseling (S3),168,97,1,1
ROSITA RAHMA,5994318,Pendidikan Bahasa Dan Sastra Indonesia (S1),172,97,2,0
AGUS TAUFIQ,6038357,Bimbingan Dan Konseling (S2),253,96,1,7
HIZBA MUHAMMAD SADIDA,6745857,Teknik Logistik (S1),98,96,2,2
TIA PURNIATI,6125459,Pendidikan Matematika (S1),219,96,1,8
TONO HARYONO,6745749,Ilmu Keolahragaan (S1),142,96,1,1
WAWAN WAHYU,6039132,Pendidikan Kimia (S2),294,96,4,7
YATI RUHAYATI,6653699,Ilmu Keolahragaan (S1),269,96,1,6
FITRANTY ADIRESTUTY,6682473,Ilmu Ekonomi dan Keuangan Islam (S1),159,95,1,5
EPON NINGRUM,5990289,Pendidikan Geografi (S3),635,94,4,9
NUNUNG SITI SUKAESIH,6125144,Keperawatan Kampus Sumedang (D3),138,94,1,3
ASIH PURWANDARI WAHYOE PUSPITA,6736204,Keperawatan (D3),114,94,0,4
ANDIKA ARISETYAWAN,6006836,PGSD Kampus Serang (S1),196,94,1,8
SRI WAHYUNI TANSHZIL,5995176,Pendidikan Pancasila Dan Kewarganegaraan (S1),175,94,1,3
ERNIE DIYAHKUSUMANING AYU IMPERIANI,5978093,Bahasa dan Sastra Inggris (S1),162,94,1,5
SUKANTA,6125495,Pendidikan Seni (S2),388,94,0,0
ARVIAN TRIANTORO,5993216,Pendidikan Akuntansi (S1),215,94,0,5
A. JAJANG WARYA,5993287,Ilmu Ekonomi dan Keuangan Islam (S1),170,93,1,6
AHMAD HAMIDI,5995207,Ilmu Keolahragaan (S1),170,86,0,4
YOGI PRASETYO,6745790,Bisnis Digital (S1),106,86,0,2
HANA SILVANA,5994816,Perpustakaan dan Sains Informasi (S1),313,86,1,8
HERA NOVIA,6126827,Pendidikan Fisika (S1),230,86,2,5
DADAN DJUANDA,5993483,PGSD Kampus Sumedang (S1),668,86,1,14
RANA GUSTIAN NUGRAHA,6095021,PGSD Kampus Sumedang (S1),140,86,1,4
HAFIZ AJI AZIZ,6748855,Kimia (S1),185,86,4,5
MUHAMMAD IHSAN,6115091,Sains Informasi Geografi (S1),221,86,2,4
PUJI RAHMAWATI NURCAHYANI,6733171,Pendidikan Teknologi Agroindustri (S1),183,85,3,4
ARISTANTI WIDYANINGSIH,5975674,Magister Ilmu Akuntansi (S2),494,85,0,11
IKA LESTARI DAMAYANTI,6745874,Pendidikan Bahasa Inggris (S1),265,101,3,6
DIDI TEGUH CHANDRA,6148724,Pendidikan Profesi Guru (Profesi),493,100,4,6
RIA SABARIA,6146648,Pendidikan Seni Tari (S1),128,100,0,2
FENY PUSPITASARI,6745755,Pendidikan Tata Busana (S1),112,100,0,2
AYANG ARMELITA ROSALIA,6721849,Sistem Informasi Kelautan (S1),121,99,1,3
YUSUF HILMI ADISENDJAJA,6146921,Unknown,394,99,3,14
MOHAMAD HELMI ISMAIL,6006814,PGPAUD Kampus Cibiru (S1),251,99,0,4
SUCI UTAMI PUTRI,5993975,PGPAUD Kampus Purwakarta (S1),280,99,1,8
RAMA WIJAYA ABDUL ROZAK,6759147,Manajemen Resort dan Leisure (S1),137,98,1,5
AGARA DAMA GAPUTRA,6745709,Arsitektur (S1),102,98,0,2
IQBAL MUSTHAPA,5979687,Kimia (S1),512,102,4,7
YOSTIANI NOOR ASMI HARINI,5994037,Bahasa dan Sastra Indonesia (S1),185,102,0,3
HANI YULINDRASARI,6033960,Pendidikan Guru Pendidikan Anak Usia Dini (S1),260,102,2,6
GALURA MUHAMMAD SURANEGARA,6703764,Sistem Telekomunikasi (S1),208,102,3,5
NETI BUDIWATI,5993201,Pendidikan Ekonomi (S1),260,102,0,6
DIAN RINJANI,6127196,Pendidikan Multimedia Kampus Cibiru (S1),146,102,0,2
RR HERTIEN KOOSBANDIAH S,5995733,Pendidikan Biologi (S2),437,101,3,10
MIMIN IRYANTI,5979500,Fisika (S1),667,101,4,6
YUSEP SUKRAWAN,5978341,Pendidikan Teknik Otomotif (S1),389,101,1,6
YAYA SONJAYA,6122417,Kimia (S1),430,101,3,7
WINWIN WIANA,5990891,Pendidikan Tata Busana (S1),379,81,3,7
KURNIAWATI,6006759,PGSD Kampus Cibiru (S1),252,81,0,1
HERNIWATI,6005824,Pendidikan Bahasa Jepang (S2),830,80,0,3
AHMAD DAHIDI,5994991,Pendidikan Bahasa Jepang (S1),269,80,0,4
NUR FAIZAH ROMADONA,6001523,Pendidikan Guru Pendidikan Anak Usia Dini (S1),199,80,0,4
NURUL HIDAYAH,6682318,PGSD Kampus Cibiru (S1),182,80,0,5
ENCUM SUMIATY,6142475,Matematika (S1),235,80,2,5
PEPEN PERMANA ,5977678,Pendidikan Bahasa Jerman (S1),187,80,0,5
PURNA HINDAYANI,6745708,Pendidikan Pariwisata (S1),127,79,2,4
DANTE DARMAWANGSA,5972984,Pendidikan Bahasa Perancis (S1),132,79,1,4
HAIKAL MUHAMMAD IHSAN,6745327,Sains Informasi Geografi (S1),115,88,1,1
SRI SUBEKTI,5992880,Pendidikan Tata Boga (S1),490,88,4,5
AZIZAH FAUZIYAH,6084425,Kewirausahaan Kampus Tasikmalaya (S1),136,87,0,3
DADAN MULYANA,6681778,Pendidikan Kepelatihan Olahraga (S1),210,87,0,0
ADMAN,5975671,Pendidikan Manajemen Perkantoran (S1),464,87,1,7
DERY RIMASA,6681518,Kepelatihan Fisik Olahraga (S1),89,87,0,1
ARIE RAKHMAT RIYADI,259151,Pendidikan Guru Sekolah Dasar (S1),249,87,0,7
DEWI NUR AZIZAH,5994054,Pendidikan Teknologi Agroindustri (S1),169,87,1,4
TATANG PERMANA,6120239,Teknik Mesin (D3),480,87,0,7
VELAYETI NURFITRIANA ANSAS,6100520,Pendidikan Bahasa Korea (S1),97,87,0,2
JANAH SOJANAH,5994617,Pendidikan Ekonomi (S2),158,82,1,6
SUSILAWATI,6000496,PGSD Kampus Serang (S1),165,82,1,3
RIZKY RACHMAN JUDHIE P,5993953,Ilmu Komputer (S1),255,82,2,4
IIS AISYAH,6156866,Keperawatan Kampus Sumedang (S1),120,82,2,3
ASEP MIFTAHUDDIN,6750370,Unknown,97,82,1,0
TRI KARYONO,5994642,Pendidikan Seni (S3),285,82,0,5
YAYAH RAHYASIH,5994901,Administrasi Pendidikan (S1),251,81,0,4
TRI LESTARI,6654245,Bimbingan Dan Konseling (S1),213,81,4,3
DANI HENDRA,6681826,Pendidikan Bahasa Jerman (S1),97,81,0,0
NAVIK ISTIKOMAH,6668198,Pendidikan Ekonomi (S1),132,81,1,3
DEWI YUSTIARINI,5999919,Teknik Sipil (S1),128,85,1,2
SLAMET ROHAEDI,6138953,Keperawatan (D3),190,85,2,5
FITRI ROSDIANA,6681777,Kepelatihan Fisik Olahraga (S1),103,85,1,2
REIZA MIFTAH WIRAKUSUMA,5989830,Manajemen Resort dan Leisure (S1),254,85,1,6
HARI MULYADI,5984810,Pendidikan Ekonomi (S3),497,84,2,12
NIA LESTARI,6706109,Pendidikan Tata Boga (S1),87,84,0,3
DEWI KARYATI,5995041,Pendidikan Seni Tari (S1),137,84,1,3
ASARI DJOHAR,6031234,Unknown,359,84,4,7
USUP ROMLI,6145733,Ilmu Pendidikan Agama Islam (S1),101,84,0,6
MUHAMMAD ADLI RIZQULLOH,6745864,Pendidikan Teknik Otomasi Industri dan Robotika (S1),130,84,1,3
IING YULIANTI,5992636,Pendidikan Sejarah (S1),155,84,0,2
DEWI RACHMATIN,5975775,Pendidikan Matematika (S1),246,83,1,7
RESHANDI NUGRAHA,6725014,"Pendidikan Jasmani, Kesehatan Dan Rekreasi (S1)",87,83,0,1
RATNA FITRIA,6145184,Manajemen Industri Katering (S1),122,83,0,2
MIRNA PURNAMA NINGSIH,6037667,Pendidikan Kesejahteraan Keluarga (S1),161,83,0,4
PURNAWAN,5976918,Pendidikan Teknik Mesin (S1),234,83,1,5
DEDI SUTEDI,5993118,Pendidikan Bahasa Jepang (S2),368,83,0,7
JAJAT DARAJAT KUSUMAH N.,5994923,"Pendidikan Jasmani, Kesehatan Dan Rekreasi (S1)",228,83,2,4
RUDI ADI NUGROHO,6662754,Pendidikan Bahasa Indonesia (S2),152,83,0,2
TUTIK INAYATI,6676818,Manajemen Perkantoran (S2),184,82,1,2
RINI MARWATI,5981279,Matematika (S1),359,79,0,5
RETTY ISNENDES,5994546,Linguistik (S2),195,79,0,6
MELA DARMAYANTI,6120443,Pendidikan Guru Sekolah Dasar (S1),124,79,0,2
ARIEF JOHARI,6644690,Desain Komunikasi Visual (S1),150,78,0,3
HADI SARTONO,6000153,Pendidikan Kepelatihan Olahraga (S1),102,78,1,0
WIDJOJOKO,6746146,PGSD Kampus Serang (S1),90,78,0,0
ARIEF BUDIMAN,5992927,Kewirausahaan Kampus Tasikmalaya (S1),101,78,0,3
ABDUL AZIS,6712382,Pendidikan Sosiologi (S1),82,78,0,3
TATANG TARYANA,6798649,Pendidikan Seni Tari (S1),105,77,1,2
JOJOR RENTA MARANATHA,6667719,PGPAUD Kampus Purwakarta (S1),93,77,0,3
SEHABUDIN SALASA,6143765,Keperawatan (D3),104,76,0,3
FITRI ALFARISA,6691682,PGSD Kampus Serang (S1),186,76,2,5
DIANNI RISDA,6721871,Pendidikan Bahasa Jepang (S1),114,76,0,1
RIAN ANDRIAN,6681695,Pendidikan Sistem dan Teknologi Informasi Kampus P (S1),253,75,3,5
M RIDWAN SUTISNA,6143237,PGSD Kampus Cibiru (S1),120,75,0,4
KANDA RUSKANDI,5995794,Unknown,129,75,1,4
RUDIYANTO,6039467,Pendidikan Anak Usia Dini (S2),219,75,0,4
BUDI SANTOSO,5993631,Pendidikan Ekonomi (S3),415,75,1,6
WAHYU SURAKUSUMAH,6723267,Pendidikan Biologi (S1),327,75,2,8
SUHERMAN SLAMET,5996323,PGSD Pendidikan Jasmani (S1),177,75,0,3
MEDIANTA TARIGAN,5994582,Psikologi (S1),131,69,0,1
RIKA SARTIKA,5990052,Pendidikan Sosiologi (S1),141,69,0,3
DEDE MARGO IRIANTO,6123185,Pendidikan Guru Sekolah Dasar Kampus Cibiru (S2),158,69,0,6
ELAN SUMARNA,5993586,Pendidikan Agama Islam (S2),149,69,1,7
RIDWAN EFFENDI,5993378,Ilmu Komunikasi (S1),424,69,2,10
UUM SUMIRAT,6122777,Pendidikan Teknik Mesin (S1),119,69,0,2
ALI SUDIN,5993501,Unknown,270,69,0,0
WINA NURHAYATI PRAJA,6690391,Ilmu Komunikasi (S1),72,68,0,2
WASLALUDDIN,6099556,Fisika (S1),463,68,3,7
SUSI WIDIANTI,5994027,Pendidikan Bahasa Jepang (S2),102,68,0,2
IDA WIDIA,5995619,Pendidikan Bahasa Dan Sastra Indonesia (S1),135,77,0,2
ESYA ANESTY MASHUDI,5993230,PGPAUD Kampus Serang (S1),130,77,0,5
DHIKA DHARMANSYAH,6729054,Keperawatan (S1),95,77,0,2
NANIN TRIANAWATI SUGITO,6115094,Survey Pemetaan dan Informasi Geografis (D3),336,77,2,5
SUCI APRILLIANI UTAMI,6006385,Ilmu Ekonomi dan Keuangan Islam (S1),144,77,0,5
HENY ROHAYANI,6694989,Pendidikan Seni Tari (S1),111,76,0,5
MAHMUDAH SALWA GIANTI,6779018,Mekatronika dan Kecerdasan Buatan Kampus Purwakart (S1),142,76,3,2
WILLDAN APRIZAL ARIFIN,6745746,Sistem Informasi Kelautan (S1),81,76,0,2
BUDI SUPRIATONO PURNOMO,5996343,Akuntansi (S1),277,76,0,7
FITRI ALFARISA,6691682,PGSD Kampus Serang (S1),186,76,2,5
RITA MARIYANA,6129983,Pendidikan Guru Pendidikan Anak Usia Dini (S1),395,73,0,7
ANDI SUNTODA SITUMORANG,6140789,PGSD Pendidikan Jasmani (S1),186,73,0,0
TAUFANI CHUSNUL KURNIATUN,6043062,Administrasi Pendidikan (S2),200,73,1,5
BAMBANG WIDJAJANTA,5984870,Manajemen (S3),267,73,2,8
MOHAMMAD ZAKY,6681872,Ilmu Keolahragaan (S1),1.991,73,2,1
CEPI TRIATNA,5978540,Administrasi Pendidikan (S1),1.003,73,1,16
DEWI DOLIFAH,6128765,Keperawatan Kampus Sumedang (D3),87,73,1,2
INDAH NURMAHANANI,5995562,PGSD Kampus Purwakarta (S1),117,72,0,2
DIKY ZAKARIA,6779007,Mekatronika dan Kecerdasan Buatan Kampus Purwakart (S1),206,72,2,5
SAMBAS ALI MUHIDIN,5994124,Pendidikan Manajemen Perkantoran (S1),527,72,2,18
YUYUS SUHERMAN,6000590,Pendidikan Khusus (S1),160,74,1,5
FINITA DEWI,5993121,PGPAUD Kampus Purwakarta (S1),171,74,1,4
MURDIYAH WINARTI,5992631,Pendidikan Sejarah (S2),140,74,0,5
CUCU SUKMANA,6654466,Pendidikan Masyarakat (S1),141,74,1,3
YULIAWAN KASMAHIDAYAT,6663654,Pendidikan Seni Tari (S1),430,74,0,3
IRMA PERMATAWATI,5994921,Pendidikan Bahasa Jerman (S1),123,74,0,2
IBNU MUBARAK,6129017,Teknik Mesin (D3),119,73,0,2
MIRA NURFITRIYA,6746175,Kewirausahaan Kampus Tasikmalaya (S1),103,73,0,2
YULIARTI MUTIARSIH,5992665,Pendidikan Bahasa Perancis (S2),178,73,0,4
NANANG FATTAH,5979056,Manajemen (S1),490,73,1,20
YENI KURNIAWATI SUMANTRI,6123152,Pendidikan Sejarah (S1),163,70,0,3
ANDHIN DYAS FITRIANI,5989139,Pendidikan Guru Sekolah Dasar (S1),431,70,3,9
AGNESTASIA RAMADHANI PUTRI,6745743,PGSD Kampus Tasikmalaya (S1),78,70,0,2
FERRY DWI CAHYADI,6088631,Pendidikan Kelautan dan Perikanan Kampus Serang (S1),100,70,0,4
AYU MUTIARA SANTANU,6681721,Gizi (S1),98,70,0,2
MOMO,5994131,Pendidikan Ilmu Pengetahuan Alam (S3),239,70,2,5
EKA NUGRAHA,5994296,"Pendidikan Jasmani, Kesehatan Dan Rekreasi (S1)",188,70,0,4
IYON SUYANA,6109361,Pendidikan Fisika (S1),371,70,4,10
YUSI RIKSA YUSTIANA,5996530,Bimbingan Dan Konseling (S3),149,70,1,4
PUTRI LILIS DYANI,6039797,Pendidikan Seni Tari (S1),104,69,0,1
DELLI YULIANA RAHMAT,6681514,Keperawatan Kampus Sumedang (S1),69,65,0,0
SAEFUDIN,6721267,Pendidikan Biologi (S1),188,64,1,5
AGUS FANY CHANDRA WIJAYA,6159695,Pendidikan Fisika (S1),494,64,2,13
SRIYONO,5995088,Pendidikan Teknik Otomotif (S1),165,64,1,6
TIURLINA,6043729,PGSD Kampus Serang (S1),137,64,0,3
ELIS MEDIAWATI,6009471,Akuntansi (S1),219,64,0,7
AAN SUKANDAR,5983988,Teknik Mesin (D3),87,64,1,2
RENI NURYANI,6130790,Profesi Ners Kampus Sumedang (Profesi),71,64,2,4
IMAS DAMAYANTI,6137276,Ilmu Keolahragaan (S1),189,63,1,5
CHAIRUL FURQON,5994043,Manajemen (S1),223,63,1,7
YAYA SUNARYA,5995894,Pendidikan Profesi Guru (Profesi),140,67,1,4
SAGITARIUS,5994326,Pendidikan Kepelatihan Olahraga (S1),206,67,0,3
GERALDI NOVIAN,6760492,Unknown,70,67,1,4
YOYO SOMANTRI,5993939,Unknown,421,67,3,6
ANIN RUKMANA,6042017,PGSD Penjas Kampus Sumedang (S1),105,67,2,5
DERI HENDRIAWAN,6006923,PGPAUD Kampus Serang (S1),115,67,1,4
LUKMAN,6675529,Pendidikan Matematika (S1),120,67,1,1
B LENA NURYANTI,5992548,Pendidikan Bisnis (S1),321,66,1,7
ALNIDI SAFARACH BRATANEGARA,6745780,Pendidikan Geografi (S1),71,66,1,1
DIDIN SAMSUDIN,6102061,Pendidikan Bahasa Korea (S1),104,66,0,1
OYON HAKI PRANATA,6128525,Unknown,205,90,1,11
EDI SURESMAN,5993676,Pendidikan Umum dan Karakter (S2),170,89,1,5
AGUNG SETYO SASONGKO,6692607,Pendidikan Kelautan dan Perikanan Kampus Serang (S1),102,89,0,3
MONA FIAMETTA FEBRIANTY,6681783,Kepelatihan Fisik Olahraga (S1),97,89,0,3
AGUS NUR SALIM,6649889,Pendidikan Seni Rupa (S1),136,89,2,0
TOTOK DOYO PAMUNGKAS,6693471,Pendidikan Geografi (S1),91,89,1,1
ASMA AZIZAH,6705531,Pendidikan Bahasa Korea (S1),100,89,0,2
FULLY RAKHMAYANTI,6745729,PGSD Kampus Cibiru (S1),90,89,1,2
HILDA MONOARFA,6150134,Manajemen (S2),207,88,1,4
LINDA AMALIA,6680418,Keperawatan (D3),119,88,1,5
MUHAMAD MARIS AL GIFARI,6101870,Pendidikan Teknik Otomotif (S1),124,63,1,0
MARGARETHA SRI Y,5994324,PGPAUD Kampus Cibiru (S1),248,63,0,9
SRI MASLIHAH,6655941,Psikologi (S1),273,63,0,11
RUMAISAH AZIZAH AL ADAWIYAH,6722046,Ilmu Ekonomi dan Keuangan Islam (S1),63,63,0,2
MUHAMMAD NURUL HANA,6122369,Pendidikan Kimia (S1),141,63,0,6
TATI SUMIATI,6144320,Unknown,196,62,2,0
DIAH CAHYANI PERMANA SARI,6003617,Arsitektur (S1),253,62,2,6
ENRY JOHAN JAOHARI,6745762,Musik (S1),62,62,0,0
HENI KOMALASARI,5995194,Pendidikan Seni Tari (S1),96,62,0,3
KURNIA EKA WIJAYANTI,6004877,"Pendidikan Jasmani, Kesehatan Dan Rekreasi (S1)",116,62,2,3
WINA MUSTIKAATI,6745735,PGSD Kampus Purwakarta (S1),73,59,0,1
APRILIA EKI SAPUTRI,5995614,Pendidikan Guru Sekolah Dasar (S1),81,59,0,4
HARIS SANTOSA NUGRAHA,5980272,Pendidikan Bahasa Sunda (S1),142,58,1,3
KURNIASIH,5996281,Pendidikan Guru Sekolah Dasar (S1),78,58,0,3
DUDI GUNAWAN,6687356,Pendidikan Khusus (S1),1.494,58,0,5
BUDI KUDWADI,5995921,Teknik Sipil (S1),89,58,0,3
AINI LOITA,5982430,PGPAUD Kampus Tasikmalaya (S1),79,58,0,3
DWI NOVIA AL HUSAENI ,6803658,Unknown,65,58,0,4
OCE RIDWANUDIN,6681229,Pendidikan Pariwisata (S1),245,58,2,0
RINANDA RIZKY AMALIA SHALEHA,6745841,Psikologi (S1),92,58,1,2
YANA SETIAWAN,5996344,Manajemen (S3),644,72,0,4
MASAYU RIZKA RISJANNA ,6745734,Kepelatihan Fisik Olahraga (S1),101,72,0,2
MARDIANI,5979146,Teknik Sipil (S1),112,71,1,2
RADEN DIAN HARDIANA,6735511,Pendidikan Akuntansi (S1),76,71,0,2
AGUS SUDONO,6134240,Manajemen Industri Katering (S1),249,71,1,6
HERI SUTARNO,5993380,Unknown,427,71,5,2
ANDIKA DUTHA BACHARI,5987130,Linguistik (S2),189,71,0,5
AKHMAD NUGRAHA,5994330,PGSD Kampus Tasikmalaya (S1),118,71,0,8
AYU PRAMESWARI KUSUMA ASTUTI,6774052,Keperawatan Kampus Sumedang (S1),74,71,0,0
SENDI FAUZI GIWANGSA,6723381,Pendidikan Guru Sekolah Dasar (S1),93,70,0,4
